make,model,year,rate,rating,reviews,trips_taken,created,price
Toyota,Avalon,2008,65.0,None,0,0,2015-04-18,13603.5
Mazda,CX-9,2011,69.0,5,6,11,2015-02-28,20343.0
Infiniti,JX,2013,159.0,5,2,4,2014-10-20,28650.5
Mazda,MAZDA5,2009,55.0,4.6667,3,8,2015-03-14,10528.0
Land Rover,Range Rover,2009,139.0,4.95,40,65,2014-05-19,32984.0
Land Rover,Range Rover Sport,2011,139.0,None,0,2,2015-04-22,41317.0
Land Rover,Range Rover,2009,139.0,5,27,50,2014-08-06,32984.0
Land Rover,Range Rover Sport,2011,139.0,5,9,18,2015-02-20,41317.0
Land Rover,Range Rover Sport,2011,139.0,4.8889,9,15,2015-02-26,41317.0
Mercedes-Benz,S-Class,2009,224.0,5,3,8,2014-08-21,42662.2
Toyota,Prius,2008,49.0,5,2,8,2015-04-22,11712.3333333
Honda,CR-V,2006,49.0,4.9167,36,71,2014-01-18,11519.8333333
Nissan,Altima,2012,60.0,5,9,12,2015-03-23,15917.5714286
Honda,CR-V,2014,55.0,4.75,20,30,2014-11-07,23813.3
Ford,Transit Connect,2014,73.0,None,0,0,2015-04-28,18364.0
Cadillac,SRX,2005,59.0,None,0,3,2015-04-18,9561.0
Honda,CR-V,2015,74.0,5,1,1,2015-04-28,25567.3
Honda,Accord,2005,32.0,None,0,3,2015-04-21,8424.85365854
Honda,Accord,2014,79.0,5,8,11,2015-03-03,21454.6666667
Cadillac,DeVille,2005,39.0,4.75,4,9,2015-04-01,6642.75
Honda,Pilot,2014,95.0,4.8,5,8,2015-02-28,29728.6666667
Chevrolet,Sonic,2014,40.0,4.9474,19,25,2014-10-31,12337.6875
Audi,A5,2012,99.0,5,9,13,2014-10-23,26611.0
Lexus,IS 250,2006,117.0,None,0,1,2015-02-08,13572.6666667
Ford,Escape Hybrid,2010,75.0,None,0,1,2015-04-22,18445.25
BMW,4 Series,2014,135.0,None,0,0,2015-05-10,37116.0
