make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days_listed,avg_trips_taken_per_day,avg_rate_per_day,price_vs_rate_per_day
BMW,1 Series,2010,225.0,5,1,2,2015-05-14 22:09:17,Jersey City,NJ,1.62307357788,18662.5,13,0.153846153846,34.6153846154,539.138888889
Infiniti,JX,2013,179.0,5,3,5,2014-10-20 20:39:06,Jersey City,NJ,0.41779756546,28650.5,219,0.0228310502283,4.08675799087,7010.56927374
Nissan,Altima,2013,89.0,5,9,14,2014-10-20 21:03:00,Jersey city,NJ,0.426239788532,17028.6666667,219,0.0639269406393,5.68949771689,2993.0
Land Rover,Range Rover Sport,2011,220.0,5,1,2,2015-05-14 22:39:22,Jersey City,NJ,1.56867682934,41317.0,13,0.153846153846,33.8461538462,1220.72954545
Volvo,C70,2004,49.0,None,0,0,2015-03-28 17:36:21,Hoboken,NJ,2.71691417694,7429.5,60,0.0,0.0,None
Mazda,CX-9,2011,73.0,5,7,13,2015-02-28 21:52:41,Jersey City,NJ,1.51086974144,20343.0,88,0.147727272727,10.7840909091,1886.38988409
Mazda,MAZDA5,2009,59.0,4.75,4,10,2015-03-14 10:14:33,Jersey City,NJ,1.46079826355,10528.0,74,0.135135135135,7.97297297297,1320.46101695
Chevrolet,Malibu,2004,29.0,5,2,4,2015-05-05 22:54:10,Jersey City,NJ,0.743754446507,5116.66666667,22,0.181818181818,5.27272727273,970.402298851
Honda,CR-V,2015,85.0,5,1,2,2015-04-28 19:44:22,Jersey City,NJ,0.747678220272,25567.3,29,0.0689655172414,5.86206896552,4361.48058824
Toyota,Prius,2008,52.0,4.8333,6,13,2015-04-22 13:12:08,Jersey City,NJ,1.55949580669,11712.3333333,35,0.371428571429,19.3142857143,606.407790927
Cadillac,DeVille,2005,48.0,4,1,2,2015-05-03 23:04:39,Jersey City,NJ,0.790230691433,6642.75,24,0.0833333333333,4.0,1660.6875
Audi,A7,2015,260.0,5,1,1,2015-03-29 17:07:30,Jersey City,NJ,0.808709204197,None,59,0.0169491525424,4.40677966102,None
Land Rover,Range Rover,2009,149.0,4.9512,41,66,2014-05-19 13:43:26,Jersey City,NJ,2.4524204731,32984.0,373,0.176943699732,26.3646112601,1251.07097824
Land Rover,Range Rover Sport,2011,149.0,5,3,5,2015-04-22 21:12:07,Jersey City,NJ,2.47024440765,41317.0,35,0.142857142857,21.2857142857,1941.06711409
Land Rover,Range Rover,2009,149.0,5,29,52,2014-08-06 08:22:06,Jersey City,NJ,2.47417545319,32984.0,294,0.176870748299,26.3537414966,1251.58699019
Mercedes-Benz,E-Class,2003,70.0,4.6,10,15,2014-05-17 10:17:24,jersey city,NJ,0.801889419556,9301.2,375,0.04,2.8,3321.85714286
Land Rover,Range Rover Sport,2011,149.0,5,11,20,2015-02-20 17:17:39,Jersey City,NJ,2.50704574585,41317.0,96,0.208333333333,31.0416666667,1331.01744966
Land Rover,Range Rover Sport,2011,149.0,4.9,10,19,2015-02-26 16:01:39,Jersey City,NJ,2.51249957085,41317.0,90,0.211111111111,31.4555555556,1313.50406217
Mercedes-Benz,S-Class,2009,219.0,5,6,11,2014-08-21 09:05:12,Jersey City,NJ,0.852112174034,42662.2,279,0.0394265232975,8.63440860215,4940.95217933
