make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days_listed,avg_trips_taken_per_day,avg_rate_per_day,price_vs_rate_per_day
Lincoln,MKZ,2016,90,5,1,4,8/11/15 21:47,Las Vegas,NV,0.234393418,None,67,0.059701493,5.373134328,None
Lexus,RX 400h,2008,59,5,18,24,6/3/15 20:55,Las Vegas,NV,0.262172014,18167.5,136,0.176470588,10.41176471,1744.90113
Chevrolet,Tahoe,2015,110,None,0,0,8/24/15 1:33,Las Vegas,NV,0.162562922,44732.33333,54,0,0,None
BMW,X6 M,2014,175,5,1,1,8/17/15 19:59,Las Vegas,NV,0.321211368,66868,61,0.016393443,2.868852459,23308.27429
Chevrolet,Corvette,2015,240,None,0,0,6/6/15 2:09,Las Vegas,NV,0.442165434,58422.05556,133,0,0,None
Toyota,Corolla,2014,33,5,18,27,7/1/15 23:48,Las Vegas,NV,3.273566961,14787.25,107,0.252336449,8.327102804,1775.797699
Mercedes-Benz,G-Class,2005,199,5,1,1,7/1/15 21:58,Las Vegas,NV,2.477146864,34342.5,108,0.009259259,1.842592593,18638.1407
Toyota,Camry,2014,30,5,16,20,7/1/15 22:07,Las Vegas,NV,3.270519972,16694.92857,108,0.185185185,5.555555556,3005.087143
Toyota,Corolla,2014,45,5,10,16,4/16/15 16:14,Las Vegas ,NV,2.762182713,14787.25,184,0.086956522,3.913043478,3778.963889
Audi,Q5,2015,149,5,1,1,5/8/15 22:34,Las Vegas,NV,2.752727509,38892.28571,162,0.00617284,0.919753086,42285.57239
Toyota,Camry,2015,39,None,0,0,10/16/15 18:06,las vegas,NV,4.771245956,20387.33333,1,0,0,None
FIAT,500X,2016,88,5,1,1,8/8/15 9:29,Las Vegas,NV,4.074880123,None,70,0.014285714,1.257142857,None
Ford,Focus,2014,45,4.9429,35,55,10/17/14 0:14,Las Vegas ,NV,5.559070587,13828.66667,365,0.150684932,6.780821918,2039.379125
Toyota,Corolla,2014,35,5,7,16,7/16/15 9:42,Las Vegas,NV,3.774671078,14787.25,93,0.172043011,6.021505376,2455.739732
Volkswagen,Jetta Hybrid,2013,52,5,3,5,5/29/15 3:27,Las Vegas,NV,4.557864666,18344.25,141,0.035460993,1.843971631,9948.227885
Chevrolet,Volt,2015,50,None,0,0,10/17/15 1:22,LAS VEGAS,NV,4.023983955,24389,0,None,None,None
BMW,4 Series,2015,124,None,0,0,9/22/15 22:53,Las Vegas,NV,5.148480892,37076.66667,25,0,0,None
BMW,6 Series,2015,375,None,0,0,9/2/15 23:44,Las Vegas,NV,5.964179516,65200.625,44,0,0,None
Honda,Civic,2003,29,5,26,37,3/17/15 15:15,Las Vegas,NV,4.651507378,4878.382353,214,0.172897196,5.014018692,972.9485774
Honda,Accord,2008,28,4.9375,48,76,8/10/13 14:36,Las Vegas,NV,5.031220436,11836,798,0.095238095,2.666666667,4438.5
Honda,Odyssey,2004,39,4.9722,36,48,3/21/14 20:38,Las Vegas,NV,4.62859869,6179.333333,575,0.083478261,3.255652174,1898.032407
Jeep,Grand Cherokee SRT,2015,275,None,0,0,9/1/15 15:54,Las Vegas ,NV,5.820199966,55094,46,0,0,None
Dodge,Dart,2015,45,5,7,19,7/6/15 2:03,North las vegas,NV,6.388209343,13698.4,103,0.184466019,8.300970874,1650.216608
Toyota,Prius,2010,36,4.9333,15,25,4/19/15 23:09,Las Vegas,NV,5.734014511,13650.8,180,0.138888889,5,2730.16
Kia,Soul,2014,34,5,13,22,5/24/15 1:52,Las Vegas,NV,5.781909466,13177.25,146,0.150684932,5.123287671,2572.03008
Toyota,Prius,2013,53,None,0,0,10/16/15 14:23,Las Vegas,NV,0.552550137,18053.6,1,0,0,None
Toyota,Avalon,2011,60,None,0,0,6/26/15 2:05,Las Vegas,NV,8.007954597,20620.5,113,0,0,None
Nissan,Murano,2006,59,None,0,4,6/24/15 13:45,Las Vegas,NV,8.358424187,9835.8,115,0.034782609,2.052173913,4792.868644
HUMMER,H2 SUT,2005,179,5,4,13,9/30/14 15:11,Las Vegas,NV,4.869867802,19025,382,0.034031414,6.091623037,3123.141384
BMW,6 Series,2013,239,5,2,2,10/1/14 4:41,Las Vegas,NV,4.871789932,49346.5,381,0.005249344,1.254593176,39332.6705
Honda,Odyssey,2013,89,5,3,8,2/7/15 2:28,Las Vegas,NV,4.882057667,27562.14286,252,0.031746032,2.825396825,9755.140449
Toyota,Prius,2013,69,5,2,3,1/25/15 13:07,Las Vegas,NV,4.885053158,18053.6,265,0.011320755,0.781132075,23112.09662
BMW,5 Series,2013,75,None,0,0,9/15/15 11:04,Las Vegas,NV,5.088759899,33862.71429,32,0,0,None
Ford,Mustang,2014,49,None,0,0,10/15/15 13:46,las vegas,NV,2.890035629,21680.125,2,0,0,None
Toyota,FJ Cruiser,2007,88,None,0,0,10/6/15 14:45,Las Vegas,NV,8.355822563,15258.33333,11,0,0,None
Volkswagen,Jetta GLI,2013,43,None,0,0,7/29/15 3:13,Las vegas,NV,6.511583328,19232.41667,80,0,0,None
Infiniti,Q60 Coupe,2014,70,5,11,15,5/27/15 19:37,Las Vegas,NV,6.62118721,28845,143,0.104895105,7.342657343,3928.414286
BMW,7 Series,2004,69,5,1,1,5/12/15 17:55,Las Vegas,NV,7.72198391,10727,158,0.006329114,0.436708861,24563.27536
Mercedes-Benz,C-Class,2013,129,5,1,1,6/26/15 4:28,Las Vegas,NV,6.578973293,26950.4,113,0.008849558,1.14159292,23607.71473
Kia,Borrego,2009,39,4.9231,13,17,5/7/15 22:17,Las Vegas,NV,8.300164223,14109.88889,163,0.104294479,4.067484663,3468.947042
BMW,3 Series,2009,80,5,17,19,8/27/14 18:04,Las Vegas,NV,6.620646954,15788.15385,416,0.045673077,3.653846154,4320.968421
BMW,3 Series,2014,99,None,0,0,9/4/15 11:01,Las Vegas,NV,10.03335953,27882.53846,43,0,0,None
Tesla,Model S,2013,218,5,4,6,4/17/15 16:56,Las Vegas,NV,8.279133797,None,183,0.032786885,7.147540984,None
BMW,M6,2006,195,5,6,7,4/4/15 2:08,Henderson,NV,8.624972343,24942,196,0.035714286,6.964285714,3581.415385
