make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days_listed,avg_trips_taken_per_day,avg_rate_per_day,price_vs_rate_per_day
Honda,Odyssey,2004,40,4.9773,44,56,3/21/14 20:38,Las Vegas,NV,4.62859869,5705.666667,631,0.088748019,3.549920761,1607.265923
Mazda,3,2005,29,5,8,10,9/13/15 22:40,Las Vegas,NV,7.896515846,5444.2,90,0.111111111,3.222222222,1689.57931
Lexus,RX 400h,2008,50,5,23,31,6/3/15 20:55,Las Vegas,NV,0.262172014,16800.5,192,0.161458333,8.072916667,2081.094194
Dodge,Dart,2015,39,5,8,25,7/6/15 2:03,Las Vegas,NV,5.163785458,13349.4,160,0.15625,6.09375,2190.670769
Volkswagen,New Beetle,2005,28,5,3,4,10/19/15 20:37,Las Vegas,NV,2.784590244,6135.875,54,0.074074074,2.074074074,2958.368304
Chrysler,Town and Country,2007,30,None,0,4,10/19/15 14:01,Las Vegas,NV,2.81461525,6649,54,0.074074074,2.222222222,2992.05
GMC,Sierra 1500,2005,26,None,0,2,11/29/15 13:09,Las Vegas,NV,3.505283833,11159.88571,14,0.142857143,3.714285714,3004.584615
BMW,M6,2006,134,5,8,13,4/4/15 2:08,Henderson,NV,8.624972343,24019,253,0.051383399,6.885375494,3488.408152
Lexus,RC 350,2015,62,4.6667,18,25,6/20/15 5:43,LAS VEGAS,NV,11.65993214,33115,176,0.142045455,8.806818182,3760.154839
Ford,Mustang,2005,30,None,0,3,10/28/15 18:24,Las Vegas,NV,2.925374508,9271.75,45,0.066666667,2,4635.875
BMW,3 Series,2009,66,5,18,21,8/27/14 18:04,Las Vegas,NV,6.620646954,15329.38462,472,0.044491525,2.936440678,5220.396492
HUMMER,H2 SUT,2005,122,5,4,14,9/30/14 15:11,Las Vegas,NV,4.869867802,21250,438,0.03196347,3.899543379,5449.355972
Mercedes-Benz,C-Class,2010,206,5,1,2,8/3/15 0:04,Las Vegas,NV,9.512219429,19271.66667,132,0.015151515,3.121212121,6174.417476
FIAT,500L,2014,33,None,0,1,11/24/15 20:20,Las Vegas,NV,5.078276634,11988,18,0.055555556,1.833333333,6538.909091
Land Rover,Range Rover,2008,67,5,1,2,10/26/15 15:39,Henderson,NV,14.7567482,22998,47,0.042553191,2.85106383,8066.462687
BMW,Z4,2005,35,5,3,4,8/16/15 17:57,Las Vegas,NV,7.603041649,11253,118,0.033898305,1.186440678,9484.671429
Nissan,Altima,2013,38,5,3,4,9/9/15 15:55,Las Vegas,NV,8.61299324,16354.44444,94,0.042553191,1.617021277,10113.93275
Lincoln,MKZ,2015,118,None,0,1,10/28/15 22:36,Las Vegas,NV,6.936536789,26863.5,45,0.022222222,2.622222222,10244.55508
Chevrolet,Camaro,2015,58,None,0,1,11/19/15 22:27,Las Vegas,NV,12.86686897,28957.30769,23,0.043478261,2.52173913,11483.07029
