make,model,year,rate,reviews,created,price,days,reviews per day,profit per day,days to break even
Nissan,Altima,2012,55,8,3/23/15,15844.85714,47,0.170212766,9.361702128,1692.518831
Land Rover,Range Rover,2009,139,39,5/19/14,32998.5,355,0.109859155,15.27042254,2160.942169
Cadillac,DeVille,2005,39,3,4/1/15,6659.75,38,0.078947368,3.078947368,2162.995726
Honda,Accord,2014,79,8,3/3/15,21465.47619,67,0.119402985,9.432835821,2275.612191
Ford,Focus,2006,40,15,9/6/14,5606,245,0.06122449,2.448979592,2289.116667
Jeep,Grand Cherokee,2005,175,5,9/22/14,8969.5,229,0.021834061,3.820960699,2347.446286
Land Rover,Range Rover,2009,139,27,8/6/14,32998.5,276,0.097826087,13.59782609,2426.748201
Cadillac,DTS,2007,39,5,3/30/15,13110.25,40,0.125,4.875,2689.282051
Land Rover,Range Rover Sport,2011,139,8,2/26/15,41547.5,72,0.111111111,15.44444444,2690.125899
Land Rover,Range Rover Sport,2011,139,8,2/20/15,41547.5,78,0.102564103,14.25641026,2914.303058
Chevrolet,Sonic,2014,40,19,10/31/14,12331.4375,190,0.1,4,3082.859375
Ford,Focus,2013,45,3,4/8/15,13760.83333,31,0.096774194,4.35483871,3159.895062
Mazda,CX-9,2011,72,6,2/28/15,20208.33333,70,0.085714286,6.171428571,3274.498457
Toyota,RAV4,2010,47,14,1/3/15,17144.91667,126,0.111111111,5.222222222,3283.069149
Honda,CR-V,2006,49,34,1/18/14,11497,476,0.071428571,3.5,3284.857143
Honda,Civic,2006,40,3,3/25/15,9284.608696,45,0.066666667,2.666666667,3481.728261
Honda,CR-V,2015,79,1,4/28/15,25567.3,11,0.090909091,7.181818182,3560.003797
Honda,CR-V,1997,50,14,3/25/13,3396,775,0.018064516,0.903225806,3759.857143
Jeep,Grand Cherokee,2008,67,11,11/22/14,17107.14286,168,0.06547619,4.386904762,3899.592944
Honda,CR-V,2012,72,23,7/27/14,22646.3,286,0.08041958,5.79020979,3911.136353
Audi,A4,2009,69,24,4/28/14,18167.25,376,0.063829787,4.404255319,4124.931159
Land Rover,Range Rover,2006,85,3,3/9/15,17594.5,61,0.049180328,4.180327869,4208.880392
Honda,Pilot,2014,95,5,2/28/15,29652.75,70,0.071428571,6.785714286,4369.878947
BMW,3 Series,2008,44,6,2/20/15,15469.33333,78,0.076923077,3.384615385,4570.484848
Honda,Civic,2006,75,3,1/18/15,9284.608696,111,0.027027027,2.027027027,4580.406957
Volkswagen,Passat,2003,41,5,11/2/14,5011.136364,188,0.026595745,1.090425532,4595.578714
Nissan,Altima,2013,79,9,10/20/14,16819.66667,201,0.044776119,3.537313433,4754.926864
Infiniti,M37,2011,75,14,10/23/14,25375.5,198,0.070707071,5.303030303,4785.094286
Lexus,ES 300,2003,37,2,3/26/15,8587,44,0.045454545,1.681818182,5105.783784
Toyota,Camry,2010,50,3,3/16/15,14287.1,54,0.055555556,2.777777778,5143.356
Mazda,MAZDA5,2009,55,2,3/14/15,10447.5,56,0.035714286,1.964285714,5318.727273
Honda,Civic,2015,75,2,3/29/15,19920.5,41,0.048780488,3.658536585,5444.936667
Ford,Fusion,2014,70,2,3/28/15,18421,42,0.047619048,3.333333333,5526.3
Nissan,Altima,2010,56,13,7/8/14,13636.28571,305,0.042622951,2.386885246,5713.004317
