make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days_listed,avg_trips_taken_per_day,avg_rate_per_day,price_vs_rate_per_day
Infiniti,JX,2013,179.0,5,3,5,2014-10-20 20:39:06,Jersey City,NJ,0.41779756546,28664.0,229,0.0218340611354,3.90829694323,7334.14078212
BMW,5 Series,2014,175.0,5,1,2,2015-06-02 10:50:43,Jersey City,NJ,2.38529849052,43076.875,5,0.4,70.0,615.383928571
Honda,CR-V,2015,85.0,5,2,3,2015-04-28 19:44:22,Jersey City,NJ,0.747678220272,25483.4,39,0.0769230769231,6.53846153846,3897.46117647
Cadillac,DeVille,2005,48.0,4.3333,3,6,2015-05-03 23:04:39,Jersey City,NJ,0.790230691433,6632.75,34,0.176470588235,8.47058823529,783.032986111
Nissan,Altima,2013,89.0,5,10,15,2014-10-20 21:03:00,Jersey city,NJ,0.426239788532,16809.6666667,229,0.0655021834061,5.82969432314,2883.45593009
Toyota,Prius,2008,52.0,4.8889,9,18,2015-04-22 13:12:08,Jersey City,NJ,1.55949580669,11586.6666667,46,0.391304347826,20.347826087,569.43019943
Toyota,Camry Solara,2005,49.0,5,1,3,2015-05-16 16:03:43,Jersey City,NJ,0.709292769432,8304.3,22,0.136363636364,6.68181818182,1242.82040816
Audi,A7,2015,260.0,5,1,1,2015-03-29 17:07:30,Jersey City,NJ,0.808709204197,58151.0,70,0.0142857142857,3.71428571429,15656.0384615
Mazda,MAZDA5,2009,62.0,4.75,4,12,2015-03-14 10:14:33,Jersey City,NJ,1.46079826355,None,85,0.141176470588,8.75294117647,None
Mazda,CX-9,2011,73.0,5,8,15,2015-02-28 21:52:41,Jersey City,NJ,1.51086974144,20358.0,98,0.15306122449,11.1734693878,1821.99452055
Volkswagen,Beetle Convertible,2013,75.0,5,1,6,2014-07-31 23:22:53,Jersey City,NJ,0.754063010216,19482.1891892,310,0.0193548387097,1.45161290323,13421.0636637
Land Rover,Range Rover Sport,2011,149.0,5,3,6,2015-04-22 21:12:07,Jersey City,NJ,2.47024440765,41275.0,45,0.133333333333,19.8666666667,2077.60067114
Land Rover,Range Rover,2009,149.0,4.9512,41,66,2014-05-19 13:43:26,Jersey City,NJ,2.4524204731,32941.0,384,0.171875,25.609375,1286.28676022
Land Rover,Range Rover,2009,149.0,5,29,52,2014-08-06 08:22:06,Jersey City,NJ,2.47417545319,32941.0,305,0.170491803279,25.4032786885,1296.72237997
Land Rover,Range Rover Sport,2011,149.0,5,12,21,2015-02-20 17:17:39,Jersey City,NJ,2.50704574585,41275.0,107,0.196261682243,29.2429906542,1411.44934484
Land Rover,Range Rover Sport,2011,149.0,4.9167,12,21,2015-02-26 16:01:39,Jersey City,NJ,2.51249957085,41275.0,101,0.207920792079,30.9801980198,1332.3026526
