make,model,year,rate,reviews,created,price
Audi,A7,2015,260.0,1,2015-03-29,None
Mazda,CX-9,2011,72.0,6,2015-02-28,20208.3333333
Mazda,MAZDA5,2009,55.0,2,2015-03-14,10447.5
Infiniti,JX,2013,159.0,2,2014-10-20,28621.5
Nissan,Altima,2013,79.0,9,2014-10-20,16819.6666667
Land Rover,Range Rover,2009,139.0,39,2014-05-19,32998.5
Volvo,C70,2004,55.0,0,2015-03-28,7448.5
Land Rover,Range Rover Sport,2011,139.0,0,2015-04-22,41547.5
Land Rover,Range Rover,2009,139.0,27,2014-08-06,32998.5
Land Rover,Range Rover Sport,2011,139.0,8,2015-02-20,41547.5
Land Rover,Range Rover Sport,2011,139.0,8,2015-02-26,41547.5
Honda,CR-V,2006,49.0,34,2014-01-18,11497.0
Saab,9-3,2007,59.0,0,2015-04-29,10430.8333333
Toyota,Prius,2008,49.0,0,2015-04-22,11664.0
Toyota,RAV4,2010,47.0,14,2015-01-03,17144.9166667
Mercedes-Benz,S-Class,2009,224.0,3,2014-08-21,43007.4
Jeep,Grand Cherokee,2005,175.0,5,2014-09-22,8969.5
Nissan,Altima,2012,55.0,8,2015-03-23,15844.8571429
Cadillac,SRX,2005,59.0,0,2015-04-18,9572.5
Honda,CR-V,2015,79.0,1,2015-04-28,25567.3
Honda,Accord,2005,32.0,0,2015-04-21,8375.53658537
Honda,Accord,2014,79.0,8,2015-03-03,21465.4761905
Cadillac,DeVille,2005,39.0,3,2015-04-01,6659.75
Honda,Pilot,2014,95.0,5,2015-02-28,29652.75
Mercedes-Benz,C-Class,2012,120.0,4,2014-10-19,30709.0
Ford,Transit Connect,2014,73.0,0,2015-04-28,18458.1333333
Chevrolet,Sonic,2014,40.0,19,2014-10-31,12331.4375
Lexus,IS 250,2006,117.0,0,2015-02-08,13465.0
Honda,Accord,2009,85.0,22,2012-12-04,14490.08
Porsche,Boxster,2003,155.0,0,2015-01-17,14284.0
Mercedes-Benz,C-Class,2010,60.0,0,2015-04-29,21575.3333333
Audi,A5,2012,99.0,7,2014-10-23,26358.25
Lexus,LS 460,2010,65.0,8,2014-09-19,35287.5
