make,model,year,rate,reviews,created,price,days,reviews/day,rate*review/day,price vs rate review day
Nissan,Altima,2012,60,9,3/23/15,15844.85714,48,0.1875,11.25,1408.431746
Ford,Taurus,2003,32,23,8/26/14,4134.461538,257,0.089494163,2.86381323,1443.691054
Ford,Focus,2013,45,6,4/8/15,13760.83333,32,0.1875,8.4375,1630.91358
Cadillac,DeVille,2005,39,4,4/1/15,6659.75,39,0.102564103,4,1664.9375
Land Rover,Range Rover,2009,139,40,5/19/14,32998.5,356,0.112359551,15.61797753,2112.853597
Toyota,Prius,2008,49,2,4/22/15,11664,18,0.111111111,5.444444444,2142.367347
Honda,Accord,2014,79,8,3/3/15,21465.47619,68,0.117647059,9.294117647,2309.576552
Land Rover,Range Rover Sport,2011,139,9,2/26/15,41547.5,73,0.123287671,17.1369863,2424.434452
Land Rover,Range Rover,2009,139,27,8/6/14,32998.5,277,0.097472924,13.54873646,2435.540767
Toyota,Corolla,2009,30,25,11/17/14,10970.875,174,0.143678161,4.310344828,2545.243
Land Rover,Range Rover Sport,2011,139,9,2/20/15,41547.5,79,0.113924051,15.83544304,2623.703038
Honda,Civic,2006,50,3,3/25/15,9284.608696,46,0.065217391,3.260869565,2847.28
Nissan,Sentra,2009,30,21,11/17/14,10704.90909,174,0.120689655,3.620689655,2956.593939
Chevrolet,Sonic,2014,40,19,10/31/14,12331.4375,191,0.09947644,3.979057592,3099.084951
Honda,CR-V,2006,49,36,1/18/14,11497,477,0.075471698,3.698113208,3108.882653
Mazda,CX-9,2011,69,6,2/28/15,20208.33333,71,0.084507042,5.830985915,3465.680354
Mazda,MAZDA5,2009,55,3,3/14/15,10447.5,57,0.052631579,2.894736842,3609.136364
Honda,CR-V,2014,55,20,11/7/14,23643,184,0.108695652,5.97826087,3954.829091
Audi,A4,2009,69,25,4/28/14,18167.25,377,0.066312997,4.575596817,3970.465652
Honda,CR-V,2015,74,1,4/28/15,25567.3,12,0.083333333,6.166666667,4146.048649
Land Rover,Range Rover,2006,85,3,3/9/15,17594.5,62,0.048387097,4.112903226,4277.878431
Honda,Pilot,2014,95,5,2/28/15,29652.75,71,0.070422535,6.690140845,4432.305789
Infiniti,M37,2011,75,15,10/23/14,25375.5,199,0.075376884,5.653266332,4488.644
Toyota,Camry,2004,33,1,4/15/15,7064.625,25,0.04,1.32,5351.988636
Mercedes-Benz,C-Class,2013,250,5,9/12/14,27972.1,240,0.020833333,5.208333333,5370.6432
Nissan,Altima,2010,56,13,7/8/14,13636.28571,306,0.04248366,2.379084967,5731.735479
Chevrolet,Malibu,2008,39,6,1/2/15,10532.4,128,0.046875,1.828125,5761.312821
Cadillac,Escalade,2009,100,7,1/5/15,32400.75,125,0.056,5.6,5785.848214
Audi,A5,2012,99,9,10/23/14,26358.25,199,0.045226131,4.477386935,5886.971661
Jeep,Wrangler,2013,115,12,2/27/14,23545.14286,437,0.027459954,3.157894737,7455.961905
Mazda,MAZDA3,2012,45,8,11/14/14,15169.26316,177,0.04519774,2.033898305,7458.221053
Acura,TL,2007,75,20,5/10/13,15412.16667,730,0.02739726,2.054794521,7500.587778
Jaguar,X-Type,2004,40,5,7/22/14,6054,292,0.017123288,0.684931507,8838.84
Mercedes-Benz,GLK-Class,2014,140,10,3/10/14,29288.66667,426,0.023474178,3.286384977,8912.122857
Honda,Accord,2011,55,11,6/14/14,16439.09524,330,0.033333333,1.833333333,8966.779221
Volvo,S60,2005,29,1,4/3/15,7113.2,37,0.027027027,0.783783784,9075.462069
Audi,S5,2010,179,6,5/7/14,30387,368,0.016304348,2.918478261,10411.93296
Mercedes-Benz,SLK-Class,2013,120,5,11/18/14,36229,173,0.028901734,3.468208092,10446.02833
Chevrolet,Cavalier,2003,42,3,5/25/14,3785.666667,350,0.008571429,0.36,10515.74074
Mercedes-Benz,E-Class,2003,37,3,1/3/15,9300.2,127,0.023622047,0.874015748,10640.76937
Hyundai,Sonata,2014,70,2,2/10/15,17457.25,89,0.02247191,1.573033708,11097.82321
Dodge,Challenger,2012,75,16,6/16/13,24727.33333,693,0.023088023,1.731601732,14280.035
Hyundai,Santa Fe,2005,39,1,2/26/15,8034.5,73,0.01369863,0.534246575,15038.9359
Nissan,Rogue,2011,65,1,3/6/15,15450.66667,65,0.015384615,1,15450.66667
Volkswagen,New Beetle,2006,69,5,5/17/13,7796.7,723,0.006915629,0.477178423,16339.1713
Mercedes-Benz,S-Class,2009,224,3,8/21/14,43007.4,262,0.011450382,2.564885496,16767.76607
BMW,3 Series,2011,120,4,5/25/14,23349.8,350,0.011428571,1.371428571,17025.89583
Nissan,Murano CrossCabriolet,2013,129,1,2/17/15,27611,82,0.012195122,1.573170732,17551.17829
Infiniti,JX,2013,159,2,10/20/14,28621.5,202,0.00990099,1.574257426,18180.95283
Dodge,Grand Caravan,2014,71,2,12/2/14,17049.33333,159,0.012578616,0.893081761,19090.4507
Mazda,CX-5,2014,80,3,9/14/14,20229.57143,238,0.012605042,1.008403361,20060.99167
Chevrolet,Cruze,2014,45,5,4/2/14,14306.5,403,0.012406948,0.558312655,25624.53111
Mercedes-Benz,SLK-Class,2012,399,1,5/28/14,35466,347,0.002881844,1.149855908,30843.86466
Volkswagen,Jetta,2015,59,2,10/26/14,20353.90625,196,0.010204082,0.602040816,33808.18326
Honda,Accord,2007,65,2,1/11/14,11041.78788,484,0.004132231,0.268595041,41109.42564
Subaru,BRZ,2013,155,1,6/23/14,20196,321,0.003115265,0.482866044,41825.26452
Jeep,Wrangler,2014,99,1,8/9/14,24794.85714,274,0.003649635,0.361313869,68624.15007
Honda,Civic,2012,32,6,12/4/12,16141.48387,887,0.006764374,0.216459977,74570.29267
Toyota,Avalon,2008,65,0,4/18/15,13575.75,22,0,0,#DIV/0!
Land Rover,Range Rover Sport,2011,139,0,4/22/15,41547.5,18,0,0,#DIV/0!
Ford,Transit Connect,2014,73,0,4/28/15,18458.13333,12,0,0,#DIV/0!
Cadillac,SRX,2005,59,0,4/18/15,9572.5,22,0,0,#DIV/0!
Honda,Accord,2005,32,0,4/21/15,8375.536585,19,0,0,#DIV/0!
Lexus,IS 250,2006,117,0,2/8/15,13465,91,0,0,#DIV/0!
Ford,Escape Hybrid,2010,75,0,4/22/15,18307,18,0,0,#DIV/0!
BMW,4 Series,2014,135,0,5/10/15,37267.81818,0,#DIV/0!,#DIV/0!,#DIV/0!
Mercedes-Benz,E-Class,2010,325,0,12/9/14,27004.57143,152,0,0,#DIV/0!
