make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days,trips/day,rate/day,price/rate/day
Toyota,Prius,2008,49,5,2,9,4/22/15,Jersey City,NJ,1.559495807,11712.33333,25,0.36,17.64,663.9644747
Ford,Taurus,2003,32,4.625,24,41,8/26/14,Weehawken,NJ,4.160618305,4124.461538,264,0.15530303,4.96969697,829.9221388
Cadillac,DeVille,2005,39,4.75,4,9,4/1/15,Jersey City,NJ,2.387837648,6642.75,46,0.195652174,7.630434783,870.5598291
Ford,Focus,2006,40,4.875,16,32,9/6/14,Weehawken,NJ,4.162308693,5602.333333,253,0.126482213,5.059288538,1107.336198
Nissan,Altima,2012,60,5,10,12,3/23/15,Jersey City,NJ,2.405881166,15917.57143,55,0.218181818,13.09090909,1215.925595
Land Rover,Range Rover,2009,149,4.95,40,65,5/19/14,Jersey City,NJ,2.452420473,32984,363,0.179063361,26.68044077,1236.261435
Land Rover,Range Rover Sport,2011,149,5,10,19,2/20/15,Jersey City,NJ,2.507045746,41317,86,0.220930233,32.91860465,1255.126104
Land Rover,Range Rover,2009,149,5,27,50,8/6/14,Jersey City,NJ,2.474175453,32984,284,0.176056338,26.23239437,1257.376644
Land Rover,Range Rover Sport,2011,149,4.9,10,17,2/26/15,Jersey City,NJ,2.512499571,41317,80,0.2125,31.6625,1304.919068
Mazda,MAZDA5,2009,55,4.6667,3,8,3/14/15,Jersey City,NJ,1.460798264,10528,64,0.125,6.875,1531.345455
Cadillac,SRX,2005,59,None,0,3,4/18/15,Jersey City,NJ,2.272118092,9561,29,0.103448276,6.103448276,1566.491525
Jeep,Grand Cherokee,2005,135,5,5,10,9/22/14,Jersey City,NJ,1.909432411,9001.75,237,0.042194093,5.696202532,1580.307222
Honda,CR-V,2006,49,4.9167,36,71,1/18/14,Jersey City,NJ,1.301248431,11519.83333,484,0.146694215,7.188016529,1602.644246
Honda,Accord,2014,79,5,8,12,3/3/15,Jersey City,NJ,2.359764099,21454.66667,75,0.16,12.64,1697.362869
Ford,Focus,2013,45,5,6,7,4/8/15,West Orange,NJ,9.08119297,13863,39,0.179487179,8.076923077,1716.371429
BMW,4 Series,2014,139,None,0,1,5/10/15,North Bergen,NJ,6.55662632,37116,7,0.142857143,19.85714286,1869.151079
Chevrolet,Malibu,2008,39,4.625,8,18,1/2/15,bogota,NJ,10.67685032,10562,135,0.133333333,5.2,2031.153846
Jeep,Grand Cherokee,2008,67,4.9231,13,22,11/22/14,Jersey City,NJ,2.252536774,17176.85714,176,0.125,8.375,2050.968017
Mazda,CX-9,2011,69,5,6,11,2/28/15,Jersey City,NJ,1.510869741,20343,78,0.141025641,9.730769231,2090.58498
Audi,A4,2009,69,4.9615,26,48,4/28/14,Edgewater,NJ,7.107093334,18320.5,384,0.125,8.625,2124.115942
Toyota,RAV4,2010,47,5,16,22,1/3/15,Jersey City,NJ,1.563995481,17197.66667,134,0.164179104,7.71641791,2228.711154
Chrysler,PT Cruiser,2006,32,4,1,1,5/5/15,Jersey City,NJ,2.407189131,6072,12,0.083333333,2.666666667,2277
Honda,Accord,2005,32,5,1,3,4/21/15,Jersey City,NJ,2.294542313,8424.853659,26,0.115384615,3.692307692,2281.731199
