make,model,year,rate,rating,reviews,trips_taken,created,city,state,distance,price,days_listed,avg_trips_taken_per_day,avg_rate_per_day,price_vs_rate_per_day
BMW,1 Series,2010,225,None,0,1,5/14/15 22:09,Jersey City,NJ,1.623073578,18662.5,5,0.2,45,414.7222222
Toyota,Prius,2008,49,5,3,10,4/22/15 13:12,Jersey City,NJ,1.559495807,11712.33333,27,0.37037037,18.14814815,645.3734694
Ford,Taurus,2003,32,4.625,24,42,8/26/14 22:09,Weehawken,NJ,4.160618305,4124.461538,266,0.157894737,5.052631579,816.2996795
Cadillac,DeVille,2005,39,4.8,5,10,4/1/15 22:36,Jersey City,NJ,2.387837648,6642.75,48,0.208333333,8.125,817.5692308
Ford,Focus,2006,40,4.875,16,33,9/6/14 16:54,Weehawken,NJ,4.162308693,5602.333333,255,0.129411765,5.176470588,1082.268939
Land Rover,Range Rover,2009,149,5,29,52,8/6/14 8:22,Jersey City,NJ,2.474175453,32984,286,0.181818182,27.09090909,1217.530201
Land Rover,Range Rover,2009,149,4.9512,41,66,5/19/14 13:43,Jersey City,NJ,2.452420473,32984,365,0.180821918,26.94246575,1224.238357
Nissan,Altima,2012,60,5,10,12,3/23/15 13:52,Jersey City,NJ,2.405881166,15917.57143,57,0.210526316,12.63157895,1260.141071
Land Rover,Range Rover Sport,2011,149,5,10,19,2/20/15 17:17,Jersey City,NJ,2.507045746,41317,88,0.215909091,32.17045455,1284.315083
Ford,Focus,2013,45,5,7,9,4/8/15 14:42,West Orange,NJ,9.08119297,13863,41,0.219512195,9.87804878,1403.414815
Honda,CR-V,2010,65,5,1,1,5/14/15 18:32,Little Ferry,NJ,9.163492203,18939.875,5,0.2,13,1456.913462
Honda,Accord,2005,32,5,2,5,4/21/15 16:31,Jersey City,NJ,2.294542313,8424.853659,28,0.178571429,5.714285714,1474.34939
Honda,Accord,2014,79,5,8,14,3/3/15 15:51,Jersey City,NJ,2.359764099,21454.66667,77,0.181818182,14.36363636,1493.679325
Mazda,MAZDA5,2009,55,4.6667,3,8,3/14/15 10:14,Jersey City,NJ,1.460798264,10528,66,0.121212121,6.666666667,1579.2
Honda,CR-V,2006,49,4.9167,36,72,1/18/14 18:36,Jersey City,NJ,1.301248431,11519.83333,486,0.148148148,7.259259259,1586.915816
Jeep,Grand Cherokee,2005,135,5,5,10,9/22/14 19:15,Jersey City,NJ,1.909432411,9001.75,239,0.041841004,5.648535565,1593.643148
Toyota,Camry,2004,33,5,3,4,4/15/15 21:19,Hackensack,NJ,10.41273594,7089.125,34,0.117647059,3.882352941,1825.986742
Land Rover,Range Rover Sport,2011,149,5,2,4,4/22/15 21:12,Jersey City,NJ,2.470244408,41317,27,0.148148148,22.07407407,1871.743289
Chevrolet,Malibu,2008,39,4.625,8,19,1/2/15 19:36,bogota,NJ,10.67685032,10562,137,0.138686131,5.408759124,1952.758435
Ford,Fusion,2014,70,5,4,7,3/28/15 17:41,Fort Lee,NJ,9.309940338,18459,52,0.134615385,9.423076923,1958.914286
Mazda,CX-9,2011,69,5,7,12,2/28/15 21:52,Jersey City,NJ,1.510869741,20343,80,0.15,10.35,1965.507246
Jeep,Grand Cherokee,2008,67,4.9231,13,23,11/22/14 6:46,Jersey City,NJ,2.252536774,17176.85714,178,0.129213483,8.657303371,1984.088625
Audi,A4,2009,69,4.9615,26,48,4/28/14 15:38,Edgewater,NJ,7.107093334,18320.5,386,0.124352332,8.580310881,2135.179046
Toyota,RAV4,2010,47,5,16,23,1/3/15 12:24,Jersey City,NJ,1.563995481,17197.66667,136,0.169117647,7.948529412,2163.628739
Nissan,Altima,2010,56,5,13,33,7/8/14 20:43,hoboken,NJ,2.686550617,13751.28571,315,0.104761905,5.866666667,2343.969156
BMW,4 Series,2014,139,5,1,1,5/10/15 10:38,North Bergen,NJ,6.55662632,37116,9,0.111111111,15.44444444,2403.194245
Volkswagen,Passat,2003,41,5,5,10,11/2/14 13:45,Cliffside Park,NJ,8.468340874,5003.181818,198,0.050505051,2.070707071,2416.170732
Land Rover,Range Rover,2006,85,5,3,6,3/9/15 17:20,Bogota,NJ,10.72216129,17580.5,71,0.084507042,7.183098592,2447.481373
Chevrolet,Sonic,2014,40,4.9474,19,25,10/31/14 6:41,Jersey city,NJ,1.971020103,12337.6875,200,0.125,5,2467.5375
Jaguar,X-Type,2004,40,5,6,18,7/22/14 23:00,Weehawken,NJ,4.581972599,6082.5,301,0.059800664,2.392026578,2542.822917
Ford,F-150,2002,38,4.9,20,45,7/1/13 14:13,South Orange,NJ,9.195532799,6368.1,687,0.065502183,2.489082969,2558.412105
Audi,A5,2012,150,5,10,14,10/23/14 19:37,Jersey City,NJ,0.753665268,26611,208,0.067307692,10.09615385,2635.75619
Chrysler,PT Cruiser,2006,32,4,1,1,5/5/15 22:48,Jersey City,NJ,2.407189131,6072,14,0.071428571,2.285714286,2656.5
Honda,CR-V,2012,72,4.9167,24,35,7/27/14 8:53,Cliffside Park,NJ,8.082613945,22809.7,296,0.118243243,8.513513514,2679.234603
Honda,CR-V,2014,55,4.75,20,31,11/7/14 10:31,Jersey City,NJ,2.454565763,23813.3,193,0.160621762,8.834196891,2695.58176
Cadillac,DeVille,2005,39,4,1,1,5/3/15 23:04,Jersey City,NJ,0.790230691,6642.75,16,0.0625,2.4375,2725.230769
Honda,Pilot,2014,95,4.8,5,9,2/28/15 18:08,Jersey City,NJ,2.399807453,29728.66667,80,0.1125,10.6875,2781.62963
Honda,CR-V,1997,50,4.9286,14,19,3/25/13 9:32,MAPLEWOOD,NJ,10.56948185,3400,785,0.024203822,1.210191083,2809.473684
Chevrolet,Malibu,2004,25,5,1,1,5/5/15 22:54,Secaucus,NJ,4.503677845,5116.666667,14,0.071428571,1.785714286,2865.333333
Acura,TL,2007,75,4.85,20,53,5/10/13 12:23,Jersey City,NJ,0.678857327,15595.66667,739,0.071718539,5.378890392,2899.420797
Ford,Escape Hybrid,2010,75,5,2,2,4/22/15 22:28,Newark,NJ,6.159759045,18445.25,27,0.074074074,5.555555556,3320.145
Cadillac,DTS,2007,39,4.6,5,5,3/30/15 11:31,Hackensack,NJ,10.44592476,13065,50,0.1,3.9,3350
Infiniti,M37,2011,75,5,16,21,10/23/14 20:55,East Orange,NJ,7.59154129,25599.5,208,0.100961538,7.572115385,3380.759365
Hyundai,Santa Fe,2005,39,5,2,5,2/26/15 13:50,MOUNTAIN LAKES,NJ,21.87993813,8058.333333,82,0.06097561,2.37804878,3388.632479
Mercedes-Benz,E-Class,2003,37,5,3,10,1/3/15 21:19,hackensack,NJ,10.52390862,9301.2,136,0.073529412,2.720588235,3418.819459
Honda,Accord,2007,65,5,9,24,1/15/14 12:25,Jersey City,NJ,2.445146322,11033.15152,489,0.049079755,3.190184049,3458.468648
Mercedes-Benz,C-Class,2013,250,5,5,8,9/12/14 14:08,West New York,NJ,5.278618813,28034.1,249,0.032128514,8.032128514,3490.24545
Nissan,Altima,2013,79,5,9,13,10/20/14 21:03,Jersey city,NJ,0.426239789,17028.66667,211,0.061611374,4.867298578,3498.586822
Mazda,MAZDA3,2012,45,4.9,10,18,11/14/14 15:25,Elizabeth,NJ,8.830774307,15421.15789,186,0.096774194,4.35483871,3541.154776
Audi,A5,2013,150,4.7742,31,55,12/26/12 17:58,Jersey City,NJ,2.546036959,33683.25,874,0.062929062,9.439359268,3568.383091
Volvo,S60,2005,29,5,1,3,4/3/15 19:43,Hackensack,NJ,10.39015007,7127.4,46,0.065217391,1.891304348,3768.510345
Nissan,Altima,2014,66,5,5,7,2/11/15 15:44,Cliffside Park,NJ,8.072184563,18502.71429,97,0.072164948,4.762886598,3884.769017
Jeep,Wrangler,2013,115,5,12,23,2/27/14 17:05,Hoboken,NJ,3.238220215,23687,446,0.051569507,5.930493274,3994.102836
Mercedes-Benz,E-Class,2012,259,5,12,22,7/23/13 23:38,Union,NJ,8.972520828,35073.875,664,0.03313253,8.581325301,4087.232889
BMW,4 Series,2015,279,5,3,6,11/21/14 20:31,Union City,NJ,4.375052452,38328.5,179,0.033519553,9.351955307,4098.44773
Honda,Civic,2011,59,5,5,8,1/6/15 9:21,West New York,NJ,4.957241058,14606.30303,133,0.060150376,3.54887218,4115.759117
Cadillac,ATS,2014,129,5,1,2,4/8/15 0:03,Upper Saddle River,NJ,22.43313026,26173.3125,41,0.048780488,6.292682927,4159.324855
BMW,3 Series,2009,80,4.6667,12,25,1/15/14 13:31,WNY,NJ,5.09250021,17679.76923,489,0.051124744,4.08997955,4322.703577
Volkswagen,Passat,2014,49,5,5,6,3/10/15 11:56,Jersey City,NJ,2.044853449,18219.38636,70,0.085714286,4.2,4337.949134
BMW,X5,2008,100,5,14,29,7/23/13 3:15,Jersey City,NJ,2.404404879,19181.5,665,0.043609023,4.360902256,4398.516379
Mazda,CX-9,2014,90,5,2,2,4/16/15 18:22,North Bergen,NJ,6.527853489,24528.33333,33,0.060606061,5.454545455,4496.861111
Honda,Civic,2015,75,5,2,3,3/29/15 16:44,Hoboken,NJ,2.725664854,19920.5,51,0.058823529,4.411764706,4515.313333
Toyota,Camry,2010,50,4.6667,3,4,3/16/15 16:31,woodland Park,NJ,12.65906143,14470.1,64,0.0625,3.125,4630.432
Honda,Odyssey,2007,49,4.5,4,6,1/30/15 20:31,Bogota,NJ,10.73133659,13012.14286,109,0.055045872,2.697247706,4824.229835
Cadillac,Escalade,2009,100,5,7,9,1/5/15 10:26,East Orange,NJ,7.616406918,32660.25,134,0.067164179,6.71641791,4862.748333
Mercedes-Benz,C-Class,2012,120,5,4,11,10/19/14 13:53,Jersey city,NJ,2.411643267,30943.72727,212,0.051886792,6.226415094,4969.750138
Honda,Civic,2006,75,4.6667,3,3,1/18/15 19:03,Newark,NJ,6.759342194,9318.652174,121,0.024793388,1.859504132,5011.364058
Buick,LaCrosse,2013,76,4.2857,7,17,7/21/14 16:26,Fort Lee,NJ,10.53692436,21929.57143,302,0.056291391,4.278145695,5125.952455
Chevrolet,Malibu,2008,39,None,0,1,4/30/15 20:59,Hackensack,NJ,10.55390358,10562,19,0.052631579,2.052631579,5145.589744
BMW,3 Series,2008,44,5,6,6,2/20/15 13:17,Newark,NJ,5.420017242,15626.41667,88,0.068181818,3,5208.805556
Nissan,Murano CrossCabriolet,2013,159,3,2,3,2/17/15 2:15,Upper Saddle River,NJ,22.48192787,27638,91,0.032967033,5.241758242,5272.658281
Volkswagen,Jetta,2013,60,5,2,9,11/6/14 21:52,Edgewater,NJ,8.13841629,15034.25926,194,0.046391753,2.783505155,5401.196845
Honda,Accord,2011,55,4.75,12,18,6/14/14 12:23,WNY,NJ,5.144973278,16504.61905,339,0.053097345,2.920353982,5651.581674
Mercedes-Benz,GLK-Class,2014,140,5,10,16,3/10/14 10:37,West New York,NJ,4.948286533,29122.66667,435,0.036781609,5.149425287,5655.517857
Mercedes-Benz,C-Class,2003,75,5,1,5,7/12/14 22:55,Berkeley Heights,NJ,19.09358025,7078.571429,311,0.01607717,1.205787781,5870.495238
Nissan,Rogue,2011,65,5,1,3,3/6/15 15:04,North bergen,NJ,6.20137167,15589.83333,74,0.040540541,2.635135135,5916.14188
Toyota,Corolla,2012,55,5,3,5,1/19/15 12:56,Hoboken,NJ,3.100642204,13782,120,0.041666667,2.291666667,6013.963636
Mercedes-Benz,C-Class,2010,100,5,1,2,3/24/15 17:44,Belleville,NJ,6.430636883,21859.66667,56,0.035714286,3.571428571,6120.706667
Honda,Accord,2012,50,5,1,1,5/2/15 19:34,Hoboken,NJ,2.508007765,18011.80952,17,0.058823529,2.941176471,6124.015238
Chevrolet,Spark,2015,42,5,5,7,12/19/14 17:28,Clark,NJ,13.36460972,12242.5,151,0.046357616,1.947019868,6287.814626
Toyota,Sienna,2013,82,5,2,6,1/13/15 22:55,Cliffside Park,NJ,7.333097458,24886.58333,126,0.047619048,3.904761905,6373.393293
Nissan,Altima,2013,56,5,1,1,4/28/15 14:09,hoboken,NJ,2.494661093,17028.66667,21,0.047619048,2.666666667,6385.75
Volkswagen,New Beetle,2006,69,4.8,5,13,5/17/13 7:49,Wayne,NJ,15.3176508,7825.7,732,0.017759563,1.225409836,6386.189967
Mercedes-Benz,S-Class,2009,219,5,4,8,8/21/14 9:05,Jersey City,NJ,0.852112174,42662.2,271,0.029520295,6.464944649,6599.00468
Dodge,Grand Caravan,2010,55,5,6,19,11/5/13 15:33,Morristown,NJ,22.98930168,12505,560,0.033928571,1.866071429,6701.244019
Dodge,Challenger,2014,80,4.8333,6,9,11/17/14 17:19,Elizabeth,NJ,8.787576675,27951.75,183,0.049180328,3.93442623,7104.403125
Honda,CR-V,2015,75,5,1,1,4/28/15 19:44,Fort Lee,NJ,10.62042046,25567.3,21,0.047619048,3.571428571,7158.844
Honda,Accord,2011,49,5,1,1,4/27/15 17:01,Edison,NJ,22.23736382,16504.61905,22,0.045454545,2.227272727,7410.237123
Honda,Accord,2007,65,4.8571,7,11,1/20/14 21:44,Hoboken,NJ,2.664180756,11033.15152,484,0.022727273,1.477272727,7468.594872
MINI,Cooper,2011,53,5,2,3,3/6/15 16:43,Fort Lee,NJ,9.279389381,16231.83333,74,0.040540541,2.148648649,7554.438155
Infiniti,JX,2013,159,5,3,5,10/20/14 20:39,Jersey City,NJ,0.417797565,28650.5,211,0.023696682,3.767772512,7604.094969
Mercedes-Benz,M-Class,2011,150,4,2,3,2/6/15 13:27,hoboken,NJ,2.660639763,33993.5,102,0.029411765,4.411764706,7705.193333
Dodge,Challenger,2012,75,5,18,28,6/16/13 13:05,East Orange,NJ,7.628548622,24976.66667,702,0.03988604,2.991452991,8349.342857
Jeep,Wrangler,2012,59,5,5,9,11/9/14 19:39,Bayonne,NJ,5.873323441,23556.14286,191,0.047120419,2.780104712,8473.113532
Volvo,S80,2005,33,5,1,1,4/9/15 21:51,Hackensack,NJ,10.40414047,7257.5,40,0.025,0.825,8796.969697
Volkswagen,Passat,2014,65,5,6,6,11/11/14 9:23,Hoboken,NJ,2.587873459,18219.38636,189,0.031746032,2.063492063,8829.39493
Audi,S5,2010,179,5,6,7,5/7/14 10:58,Ridgefield Park,NJ,8.403561592,30374,377,0.018567639,3.323607427,9138.865124
Mercedes-Benz,E-Class,2007,139,5,1,4,8/14/14 7:58,Berkeley Heights,NJ,19.41134262,18565.125,278,0.014388489,2,9282.5625
Toyota,Prius,2005,45,5,6,11,7/28/13 16:53,Laurence Harbor,NJ,21.84208488,7631,660,0.016666667,0.75,10174.66667
Mazda,CX-5,2014,80,5,3,6,9/14/14 22:41,Jersey City,NJ,2.474985123,20334,247,0.024291498,1.943319838,10463.5375
Mazda,MAZDA3,2012,25,5,2,2,4/15/15 13:33,Hillside,NJ,7.67601347,15421.15789,34,0.058823529,1.470588235,10486.38737
Mercedes-Benz,SLK-Class,2012,399,5,1,3,5/28/14 7:44,Edison,NJ,21.86827087,35747,356,0.008426966,3.362359551,10631.52214
Honda,Accord,2012,50,5,1,1,4/19/15 20:08,Hoboken,NJ,2.600183249,18011.80952,30,0.033333333,1.666666667,10807.08571
Lexus,LS 460,2010,65,5,9,12,9/19/14 17:41,Jersey City,NJ,2.4120574,35209.25,242,0.049586777,3.223140496,10923.89551
Toyota,Camry,2012,60,5,1,1,4/10/15 13:58,Weehawken,NJ,4.204126835,16882,39,0.025641026,1.538461538,10973.3
Dodge,Challenger,2014,99,5,3,4,12/7/14 0:33,Elizabeth ,NJ,8.743715286,27951.75,163,0.024539877,2.429447853,11505.39205
GMC,Yukon,2008,95,5,1,1,3/17/15 16:24,Hoboken,NJ,2.281511545,19898.33333,63,0.015873016,1.507936508,13195.73684
Dodge,Grand Caravan,2014,71,5,2,3,12/2/14 15:25,EAST HANOVER,NJ,17.58195114,16961.66667,168,0.017857143,1.267857143,13378.21596
Porsche,Cayenne,2004,95,None,0,3,8/18/14 11:25,Berkeley Heights,NJ,19.29058266,14614,274,0.010948905,1.040145985,14049.95088
Chevrolet,Cruze,2014,45,5,5,9,4/2/14 20:46,Morristown,NJ,23.01052284,14321.3,412,0.02184466,0.983009709,14568.82864
Volkswagen,Beetle Convertible,2013,75,5,1,5,7/31/14 23:22,Jersey City,NJ,0.75406301,19381.37838,291,0.017182131,1.288659794,15039.94962
Hyundai,Elantra,2008,35,None,0,2,1/4/15 18:11,Basking Ridge,NJ,26.48468781,8229.833333,135,0.014814815,0.518518519,15871.82143
Honda,Accord,2007,65,5,2,5,1/11/14 23:10,Nutley,NJ,6.798878193,11033.15152,493,0.010141988,0.659229209,16736.44214
Lexus,IS 250,2006,75,None,0,1,2/8/15 11:48,Secaucus,NJ,4.781601429,13572.66667,100,0.01,0.75,18096.88889
Toyota,Camry Hybrid,2007,59,5,2,3,8/18/14 10:37,Berkeley Heights,NJ,19.38471222,11707,274,0.010948905,0.645985401,18122.70057
Audi,TT,2009,70,5,4,6,4/15/14 13:11,Newark,NJ,4.923172474,20672.125,399,0.015037594,1.052631579,19638.51875
Volkswagen,Jetta,2015,59,5,2,3,10/26/14 11:19,Weehawken,NJ,4.916661739,20353.90625,205,0.014634146,0.863414634,23573.73323
Audi,Q5,2012,99,5,2,2,11/22/14 17:45,Hoboken,NJ,2.747887135,28151,178,0.011235955,1.112359551,25307.46465
Honda,Civic,2012,32,5,7,18,12/4/12 14:12,Oceanport,NJ,28.05510712,16294.29032,896,0.020089286,0.642857143,25346.67384
Lexus,GS 350,2014,125,5,1,1,2/12/15 14:54,Millburn,NJ,12.05849457,35876,96,0.010416667,1.302083333,27552.768
Volkswagen,Jetta,2012,65,None,0,1,1/1/15 17:09,Union,NJ,10.16774368,14833.2,138,0.007246377,0.471014493,31492.02462
Dodge,Grand Caravan,2014,71,None,0,1,12/30/14 13:31,EAST HANOVER,NJ,17.62330437,16961.66667,140,0.007142857,0.507142857,33445.53991
MINI,Cooper,2013,48,5,1,1,2/19/15 17:33,Verona,NJ,11.43433666,18260,89,0.011235955,0.539325843,33857.08333
Jeep,Wrangler,2014,99,5,1,2,8/9/14 11:52,West New York,NJ,4.961893082,24922.14286,283,0.007067138,0.699646643,35621.04257
Nissan,Cube,2009,30,None,0,4,2/6/14 7:43,morristown,NJ,21.44975472,10334.6,467,0.00856531,0.256959315,40218.81833
Subaru,BRZ,2013,155,5,1,1,6/23/14 17:57,north bergen,NJ,6.276912689,20398.75,330,0.003030303,0.46969697,43429.59677
Scion,xB,2012,43,5,4,4,5/18/13 1:43,Newark,NJ,5.765391827,14261.25,731,0.005471956,0.235294118,60610.3125
Honda,Pilot,2012,85,None,0,1,10/25/14 13:35,Cliffside Park,NJ,8.499668121,26232.5,206,0.004854369,0.412621359,63575.23529
Nissan,Sentra,2011,59,None,0,1,7/6/14 21:24,Jersey City,NJ,2.065775394,12713.28571,317,0.003154574,0.186119874,68306.97579
Toyota,Corolla,2009,30,5,1,3,2/24/13 13:47,Iselin,NJ,16.46422768,11070.375,814,0.003685504,0.110565111,100125.3917
BMW,1 Series,2009,59,None,0,0,5/11/15 21:16,Jersey City,NJ,1.901405215,16623.5,8,0,0,None
